 Vendor Name , Department ,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Salesforce Uk Ltd-Uk,Sales,"$3,117,226","Salesforce Uk Ltd-Uk is the enterprise CRM platform managing customer relationships, sales pipeline, forecasting, and marketing automation across all global sales teams","Optimize - Largest vendor ($3.1M) - license audit for unused seats, negotiate 15% enterprise discount, implement usage monitoring"
Navan (Tripactions Inc),G&A,"$357,984","Navan (Tripactions Inc) manages corporate travel booking, expense reporting, and policy compliance for business trips across all regions","Optimize - Primary travel ($358K) - negotiate 10% volume rebate, stricter policy controls, benchmark vs Concur"
Bdo Llp,Legal,"$343,081","Bdo Llp delivers audit, tax advisory, and transaction support services as the primary accounting firm for statutory compliance","Optimize - Largest prof services ($343K) - fixed-fee retainer for routine work, benchmark rates, annual cap"
Tog Uk Properties Limited,Facilities,"$263,821","Tog Uk Properties Limited provides premium flexible office space with serviced offices, meeting rooms, and business amenities in prime UK locations","Optimize - Largest UK facilities ($264K) - renegotiate lease, benchmark vs WeWork, 3-year commitment discount"
Cloudcrossing Bvba,Engineering,"$208,675","Cloudcrossing Bvba delivers cloud consulting specializing in AWS/Azure migration, DevOps implementation, and architecture optimization","Optimize - High engineering ($209K) - review deliverables vs SOW, build internal DevOps capability"
Zagrebtower D.O.O.,Facilities,"$183,754","Zagrebtower D.O.O. is the primary Zagreb office tower providing modern workspace, meeting facilities, and business services for Croatian operations","Optimize - High-value ($183,754) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Innovent Spaces Private Limited,G&A,"$147,348","Innovent Spaces Private Limited delivers flexible workspace solutions in India including managed offices, coworking spaces, and customizable work environments","Optimize - High-value ($147,348) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Weking D.O.O.,G&A,"$144,093",Weking D.O.O. provides commercial office leasing and property management services for Croatian business operations,"Optimize - High-value ($144,093) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Jensten Insurance Brokers,G&A,"$142,700","Jensten Insurance Brokers brokers commercial insurance including employee benefits, liability coverage, and risk management advisory services","Optimize - Insurance broker ($143K) - benchmark premiums, review coverage, multi-year rate lock"
Gpt Space & Co,Facilities,"$133,507","Gpt Space & Co provides UK flexible office space with serviced offices, hot-desking, and meeting room facilities","Optimize - High-value ($133,507) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Aetna Life And Casualty Ltd,G&A,"$124,661","Aetna Life And Casualty Ltd provides employee health insurance with medical, dental, vision, and wellness coverage plans","Optimize - Health insurance ($125K) - review utilization, consider HDHP option, 3-year rate guarantee"
Rsm Uk Corporate Finance Llp,Legal,"$117,078","Rsm Uk Corporate Finance Llp provides corporate finance advisory including M&A support, valuations, and due diligence services","Optimize - High-value ($117,078) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Amazon Web Services Llc,Engineering,"$106,399","Amazon Web Services Llc provides cloud infrastructure including compute, storage, databases, and managed services for application hosting","Optimize - Cloud infrastructure ($106K) - reserved instances (70% target), right-size workloads, negotiate EDP"
Telefonica Global Services Gmbh,SaaS,"$89,880","Telefonica Global Services Gmbh provides enterprise telecommunications with global voice, data connectivity, and managed network services","Optimize - High-value ($89,880) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Hr Solution International Gmbh,G&A,"$80,823","Hr Solution International Gmbh provides HR consulting including recruitment services, payroll outsourcing, and workforce management solutions","Optimize - High-value ($80,823) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
4I Advisory Services,Professional Services,"$71,860","4I Advisory Services delivers M&A advisory including transaction support, deal structuring, and post-merger integration consulting","Optimize - M&A advisor ($72K) - clear success metrics, cap retainer, success-fee structure"
Bisley Law Ltd,Legal,"$67,414","Bisley Law Ltd provides UK commercial law services including corporate contracts, employment law, and general business advisory","Optimize - Primary legal ($67K) - fixed-fee retainer ($5K/month), benchmark rates, matter budgets"
